Point No.,Shear Rate,Viscosity,Temperature,Particle Size
380,814,670.25,20.17,500
381,973,950.29,20.09,500
382,1.17E+03,451.88,20,500
383,1.40E+03,20.066,19.95,500
384,1.67E+03,9.1176,19.92,500
385,2.00E+03,4.4966,19.91,500
386,0.1,3550.8,30,500
387,0.12,3288.2,30,500
388,0.143,3004.3,30,500
389,0.172,2771.5,30,500
390,0.205,2577.8,30,500
391,0.246,2394,30,500
392,0.295,2230.5,30,500
393,0.353,2080.6,30,500
394,0.422,1943,30,500
395,0.506,1822.4,29.99,500
396,0.605,1716.6,29.99,500
397,0.725,1617.2,29.99,500
398,0.868,1530.5,29.99,500
399,1.04,1447.2,29.99,500
400,1.24,1375.1,29.99,500
401,1.49,1309.9,30,500
402,1.78,1247.7,30,500
403,2.14,1194.5,30,500
404,2.56,1145.1,30,500
405,3.06,1099.9,30,500
406,3.66,1057,30,500
407,4.39,1017.8,30,500
408,5.25,980.99,30,500
409,6.29,950.56,30,500
410,7.53,921.31,30,500
411,9.02,892.33,30,500
412,10.8,870.39,30,500
413,12.9,847.23,30,500
414,15.5,825.38,30,500
415,18.5,811.91,30,500
416,22.2,807.43,30,500
417,26.6,815.56,30,500
418,31.8,846.96,30,500
419,38.1,931.7,30,500
420,45.6,1253.1,30,500
421,54.6,2671.7,30,500
422,65.4,4907.3,30,500
423,78.2,7071.9,30,500
424,93.7,9142.9,30,500
425,112,11081,30,500
426,134,12873,30,500
427,161,14390,30,500
428,192,15104,30.01,500
429,230,15035,30.01,500
430,276,15411,30.01,500
431,330,15393,30.02,500
432,395,15193,30.03,500
433,474,14672,30.04,500
434,567,14218,30.05,500
435,679,13235,30.07,500
436,812,12255,30.1,500
437,973,10955,30.13,500
438,1.16E+03,8934.7,30.17,500
439,1.40E+03,2227.4,30.21,500
440,1.67E+03,315.39,30.19,500
441,2.00E+03,392.37,30.12,500
442,0.1,2704.4,40,500
443,0.12,2478.1,40,500
444,0.143,2280,40,500
445,0.172,2098.4,40,500
446,0.205,1944.4,40,500
447,0.246,1795.8,40,500
448,0.295,1670.6,40,500
449,0.353,1556.7,40,500
450,0.422,1455.4,40,500
451,0.506,1362.3,40,500
452,0.605,1276.3,40,500
453,0.725,1201.5,40,500
454,0.868,1132.4,40,500
455,1.04,1073.7,40,500
456,1.24,1013.8,40,500
457,1.49,964.8,40,500
458,1.78,917.09,40,500
459,2.14,872.7,40,500
460,2.56,830.56,40,500
461,3.06,793.3,40,500
462,3.66,755.74,40,500
463,4.39,727.88,40,500
464,5.25,701.91,40,500
465,6.29,676.29,40,500
466,7.53,649.79,40,500
467,9.02,631.28,40,500
468,10.8,611.48,40,500
469,12.9,593.74,40,500
470,15.5,576.78,40,500
471,18.5,564.61,40,500
472,22.2,547.6,40,500
473,26.6,539.45,40.01,500
474,31.8,536.28,40.01,500
475,38.1,539.92,40,500
476,45.6,557.42,40,500
477,54.6,601.63,40,500
478,65.3,734.18,40,500
479,78.2,1236.9,40,500
480,93.7,2262.1,40,500
481,112,3493.6,40,500
482,134,4764.6,40,500
483,161,5971.4,40,500
484,193,7084.9,40,500
485,231,8651.2,40,500
486,276,9136.8,40,500
487,330,9602.2,40.01,500
488,396,9866.7,40.02,500
489,474,9314.3,40.02,500
490,567,6457.1,40.03,500
491,678,3180.9,40.03,500
492,813,2311.3,40.02,500
493,973,1345.2,40.01,500
494,1.17E+03,1007.2,40.01,500
495,1.40E+03,470.92,40.01,500
496,1.67E+03,386.83,40.01,500
497,2.00E+03,109.04,40.01,500
