Shear Rate,Viscosity,Particle Size,Temperature,Temperature-(T')
161,5971.4,500,40,40
193,7084.9,500,40,40
231,8651.2,500,40,40
276,9136.8,500,40,40
330,9602.2,500,40,40.01
396,9866.7,500,40,40.02
474,9314.3,500,40,40.02
567,6457.1,500,40,40.03
678,3180.9,500,40,40.03
813,2311.3,500,40,40.02
973,1345.2,500,40,40.01
1.17E+03,1007.2,500,40,40.01
1.40E+03,470.92,500,40,40.01
1.67E+03,386.83,500,40,40.01
2.00E+03,109.04,500,40,40.01
